h3,population_sum
892f5aad3dbffff,1745.5842895507812
894a48522bbffff,0.91258352994918823
892f5a32a2bffff,2712.0620269775391
892f5bcc357ffff,237.8185863494873
892f5bcd153ffff,535.453784942627
892f5aac437ffff,881.07490158081055
892f5b0b103ffff,1.4487326666712761
892f5bca117ffff,309.52973651885986
892f5a302d7ffff,2010.7124786376953
892f5a3516bffff,1690.3112716674805
892f5aad317ffff,822.61133193969727
892f5b55157ffff,25.486655712127686
892f5b55b4fffff,9.4210889339447021
892f5b5626bffff,148.07237339019775
892f5d7a11bffff,2.6386787444353104
892f5d7acd3ffff,1.9319010376930237
894a48534afffff,3.4800675213336945
892f5a36c87ffff,1783.1830825805664
892f5a3758fffff,1197.0810546875
892f5a37593ffff,269.55723762512207
892f5aaca43ffff,1794.1458282470703
892f5b19347ffff,1.8750746473670006
892f5b465a3ffff,1.6481329649686813
892f5b52453ffff,713.23956680297852
892f5a3232bffff,784.35135650634766
892f5a3467bffff,1434.6927947998047
892f5a370cbffff,1910.3734970092773
892f5aa880fffff,2478.4644927978516
892f5b501d7ffff,192.02373504638672
892f5bc9687ffff,911.29874420166016
892f5a32107ffff,2390.3947143554688
892f5a34b6bffff,1382.4812927246094
892f5b52427ffff,535.8150634765625
892f5b550d7ffff,123.73979806900024
892f5b5611bffff,7.9643561244010925
892f5bce4d3ffff,1362.8125
892f5a330abffff,1598.1820297241211
892f5b1960fffff,8.7269311547279358
892f5b46acfffff,0.80849532783031464
894ec936483ffff,0.107438825070858
892f5837363ffff,2.657257542014122
892f5a30ba7ffff,1433.3696670532227
892f5a30c63ffff,786.9649772644043
892f5a3498fffff,1279.120735168457
892f5aac127ffff,1961.9632186889648
892f5b55ca3ffff,4.9871895909309387
894a4ab80c7ffff,0.15813705325126648
892f5a34a2fffff,1976.5015182495117
892f5aae37bffff,655.31579971313477
892f5b46897ffff,1.4069861620664597
892f5b55673ffff,24.020187854766846
892f5bc1c8fffff,848.22707366943359
892f5bcd827ffff,81.864110946655273
